,logFC,logCPM,PValue,FDR
RNU6-8,3.652518,-3.884622,5.11E-08,2.13E-07
LOC105376975,3.652444,-4.468045,0.0003516,0.000806531
LOC105370685,3.652106,-4.902922,0.01923407,0.03125988
LOC107986624,3.652013,-4.904397,0.02047602,0.03310351
LOC105374955,3.651994,-4.904365,0.02637777,0.0415851
LOC105372599,3.651938,-4.903549,0.02203999,0.03533896
LOC107984976,3.651933,-4.90283,0.01889504,0.03074778
LOC105373493,3.651778,-4.903824,0.01735034,0.02848303
LOC105372212,3.651734,-4.903631,0.02212069,0.03546529
FCN3,3.651711,-3.78893,2.68E-06,8.76E-06
LINC02057,3.651662,-4.903889,0.01749432,0.02869285
LINC02418,3.65142,-4.68524,0.001135978,0.002365393
OR8J3,3.651385,-4.903055,0.01459874,0.02434474
LOC105373603,3.651165,-4.904308,0.02566977,0.04059611
FMO1,3.651106,-3.406791,4.79E-06,1.50E-05
LINC02852,3.651037,-4.905189,0.02867189,0.04488828
LOC105374531,3.65095,-4.904471,0.02326057,0.03713932
TTN,3.650928,5.719558,3.87E-34,1.07E-32
LNX1,3.650651,-4.146267,2.04E-06,6.77E-06
PCGEM1,3.65011,-3.919124,0.000101053,0.000256134
CERS3-AS1,3.649918,-4.744239,0.003255563,0.006206302
LOC105378694,3.64955,-3.193299,1.65E-07,6.40E-07
TAT,3.649347,-3.263149,1.71E-10,9.49E-10
LOC105372028,3.649194,-4.905055,0.03028126,0.04715018
LOC105379349,3.649165,-4.904219,0.02224244,0.03564208
DMD,3.648669,-0.3716043,4.80E-24,7.71E-23
LOC105375511,3.648217,-4.451792,0.000205836,0.000491575
CDK5R2,3.647447,-4.904893,0.02061421,0.03330525
LOC107985096,3.647359,-4.904855,0.02537243,0.04017876
LOC107984627,3.64724,-4.903888,0.01875907,0.03054521
LINC00348,3.647078,-4.904533,0.02200125,0.03529051
CT66,3.646788,-4.382997,2.50E-05,7.03E-05
LINC01204,3.646684,-4.053345,1.23E-06,4.20E-06
SFTA1P,3.645855,-4.904965,0.02521055,0.0399496
LOC107984983,3.64584,-4.905291,0.0295234,0.04608769
LNCOG,3.645753,-4.904135,0.01836479,0.02995839
LOC338963,3.645588,-3.628251,1.01E-05,3.03E-05
LOC112268444,3.645539,-4.364548,1.67E-05,4.83E-05
SAMD7,3.645138,-4.155149,3.94E-06,1.25E-05
LOC107986733,3.644987,-4.905297,0.02534077,0.04013376
LOC105378977,3.644304,-4.90498,0.02168582,0.03482656
LOC105376584,3.644123,-4.904658,0.01887334,0.03071516
LINC01946,3.644081,-4.905557,0.03011622,0.04692067
SLC36A2,3.643948,-3.453494,5.43E-07,1.95E-06
LOC105377387,3.643784,-4.905451,0.02524174,0.03999222
