,logFC,logCPM,PValue,FDR
PPM1F,-3.539238912,4.142956735,5.09E-76,5.90E-74
CNOT3,-5.639638806,0.049808655,9.26E-76,1.07E-73
DEF8,-2.552675755,4.049223452,1.40E-75,1.61E-73
ODF3B,-5.816685838,3.897761961,1.43E-75,1.65E-73
STARD10,-3.921216626,1.981877938,2.96E-75,3.39E-73
KREMEN1,-6.741623956,2.686520555,3.76E-75,4.30E-73
EMC10,-2.224305815,3.78936957,4.22E-75,4.81E-73
XPO6,-2.97470766,6.333723737,5.50E-75,6.24E-73
SLC25A39,-5.47806624,8.267527806,7.84E-75,8.87E-73
LDB1,-2.470059352,4.314511867,9.35E-75,1.05E-72
GLT1D1,-6.97805034,3.688454834,1.01E-74,1.13E-72
STUB1,-4.21072565,1.761300836,1.09E-74,1.21E-72
MYPOP,-4.465222579,0.863285395,1.09E-74,1.22E-72
KAT8,-2.652143168,2.789076638,2.12E-74,2.35E-72
UBALD2,-4.860042751,4.796980408,2.88E-74,3.18E-72
AKT1S1,-4.533134389,2.4880921,2.93E-74,3.23E-72
PI3,-10.19077161,3.416357875,3.20E-74,3.52E-72
MAPK3,-3.437511028,3.756505398,3.51E-74,3.84E-72
FAM157A,-5.376832704,2.210394889,3.98E-74,4.35E-72
CHCHD10,-11.02097168,0.164196663,7.67E-74,8.35E-72
CANT1,-3.52655154,3.723754055,8.79E-74,9.54E-72
ARID3A,-4.454143643,2.813749356,1.19E-73,1.29E-71
CAMKK2,-3.624795568,3.912054691,1.42E-73,1.54E-71
STX5,-2.997729388,2.759465413,1.98E-73,2.13E-71
KIFC2,-4.21786049,1.338625988,2.43E-73,2.61E-71
RASGRP2,-2.488796051,5.382667612,2.90E-73,3.10E-71
MXD1,-4.660554221,5.095978086,3.10E-73,3.30E-71
ATP2A3,-2.519279136,5.825911662,3.70E-73,3.94E-71
MYO1F,-3.440030614,7.322291034,6.54E-73,6.94E-71
ITPK1,-7.748939858,0.526557939,8.43E-73,8.92E-71
GAB2,-3.823345205,3.673686331,8.97E-73,9.47E-71
NAGK,-3.736776601,4.568361195,1.27E-72,1.33E-70
DNTTIP1,-3.609698284,2.303743362,1.38E-72,1.45E-70
NCF1C,-7.051677876,5.497616107,1.59E-72,1.67E-70
ADAMTSL4,-4.44467797,3.060246089,1.66E-72,1.73E-70
FAM43A,-4.794730228,0.546696035,2.16E-72,2.25E-70
LINC01001,-7.021598146,0.728619513,2.22E-72,2.30E-70
SBNO2,-8.316063705,1.266246918,2.60E-72,2.69E-70
CAPNS1,-3.287997699,5.264231764,3.10E-72,3.19E-70
MAP3K10,-4.056216457,1.312851375,9.34E-72,9.59E-70
ZDHHC5,-2.597288506,3.442685679,9.49E-72,9.71E-70
TBC1D10B,-3.628435456,3.435093789,1.51E-71,1.55E-69
NAPA,-2.940266455,5.254532331,2.20E-71,2.24E-69
KMT2B,-2.621848795,3.76298528,2.24E-71,2.28E-69
REXO1,-2.826045728,2.589807776,3.38E-71,3.42E-69
ANXA9,-4.037325475,1.272315328,4.26E-71,4.30E-69
WDTC1,-3.093413791,4.392115213,5.92E-71,5.96E-69
STEAP4,-6.818478432,3.779995671,1.09E-70,1.09E-68
BCL2L1,-5.89328027,6.078469017,1.12E-70,1.12E-68
TBKBP1,-5.062980977,2.885335396,1.51E-70,1.51E-68
CSF2RB,-4.568400063,5.201120788,1.75E-70,1.74E-68
GPR137,-3.132847157,1.44594308,2.01E-70,1.99E-68
LOC105373095,-2.901653842,1.610449383,2.07E-70,2.05E-68
CHI3L1,-7.545451793,2.418671651,2.31E-70,2.28E-68
ABTB1,-3.087268734,6.206832717,2.91E-70,2.86E-68
ROGDI,-4.31035405,2.871463467,3.00E-70,2.94E-68
TCF3,-2.976577029,3.786964991,3.65E-70,3.57E-68
ATG4D,-3.233185938,1.775505838,4.91E-70,4.80E-68
IKBIP,-4.414597016,0.776732345,4.93E-70,4.81E-68
PRRG4,-5.303455153,1.265545068,6.37E-70,6.19E-68
SELENON,-3.056789542,2.689664533,7.56E-70,7.33E-68
ZNF646,-2.98134318,3.013240866,9.89E-70,9.57E-68
ZYX,-6.778056877,0.770318589,1.24E-69,1.20E-67
OSCAR,-7.560535606,0.48772454,1.37E-69,1.32E-67
CARS2,-2.71391141,3.678855026,1.46E-69,1.40E-67
ADGRG3,-7.560421604,4.380926517,1.77E-69,1.69E-67
MBD2,-2.747631112,3.250055774,3.56E-69,3.40E-67
CCDC71L,-3.956358562,1.724343814,3.59E-69,3.42E-67
FURIN,-3.344624775,5.024730566,3.72E-69,3.54E-67
CLUH,-3.069940176,2.221686849,6.15E-69,5.83E-67
MEFV,-7.166359275,4.44665445,9.21E-69,8.68E-67
CXCR2,-8.957625842,6.347114263,9.70E-69,9.12E-67
BTNL8,-5.850232427,1.061054485,1.01E-68,9.44E-67
EVI5L,-3.792576998,1.125812148,1.21E-68,1.13E-66
FCGR3B,-10.67119199,7.232855684,1.39E-68,1.29E-66
DEXI,-5.311438101,0.055632449,1.96E-68,1.83E-66
TOMM40,-3.151459523,1.903660122,2.23E-68,2.07E-66
PIP5K1C,-2.755307496,2.943950825,2.47E-68,2.28E-66
TTYH3,-4.095879032,3.410060435,2.49E-68,2.30E-66
ZNF428,-4.572637873,0.423789024,2.51E-68,2.31E-66
NFIX,-8.123311415,3.153931203,2.62E-68,2.41E-66
ACSL1,-5.249191093,5.693177382,3.58E-68,3.28E-66
CDK9,-2.223162101,2.998213587,5.67E-68,5.17E-66
LOC105371816,-5.322000147,0.859469356,7.99E-68,7.28E-66
EGLN1,-3.099838319,2.850770251,9.55E-68,8.67E-66
NCOR2,-2.737233052,3.856320848,9.99E-68,9.05E-66
ABHD8,-4.650757089,1.277430139,1.04E-67,9.36E-66
ZNF316,-3.751103813,3.322269738,1.81E-67,1.63E-65
SIAH2,-4.360515992,4.307167113,2.02E-67,1.81E-65
RUNDC3A,-8.341494316,4.171074253,2.67E-67,2.40E-65
PAK4,-3.06539126,0.718206407,2.79E-67,2.50E-65
SPI1,-7.625765057,7.052856598,3.28E-67,2.93E-65
ANP32A,-2.701434029,4.011911724,3.34E-67,2.97E-65
SP1,-2.460805641,4.475852532,3.39E-67,3.02E-65
RAB3D,-4.188985351,4.178375767,4.28E-67,3.80E-65
PTMS,-6.517324381,2.823039071,4.41E-67,3.90E-65
LINC00537,-4.853565139,2.638518617,5.02E-67,4.43E-65
TMEM238,-5.585185789,-0.281179121,5.71E-67,5.02E-65
EXTL3,-3.045899344,2.713581614,6.40E-67,5.62E-65
FAAP20,-3.240642769,2.117503648,6.58E-67,5.76E-65
C7orf26,-2.727326184,2.381603396,7.24E-67,6.33E-65
CAMK1,-4.096797751,1.738146929,8.20E-67,7.15E-65
ZNF710,-3.333226359,2.66641641,1.01E-66,8.82E-65
MIB2,-3.255274551,3.421086237,1.18E-66,1.02E-64
GSR,-3.658514592,2.457664371,1.21E-66,1.05E-64
IMPDH1,-3.207762251,5.069524554,2.30E-66,1.99E-64
EVI2B,-2.882953801,6.537136354,2.44E-66,2.10E-64
HBA1,-12.22866334,5.469991468,2.46E-66,2.11E-64
ORAI2,-3.301455233,4.15485785,2.46E-66,2.11E-64
TAOK2,-2.709656859,3.236241073,3.60E-66,3.08E-64
