,logFC,logCPM,PValue,FDR
WI2-87327B8.2,2.918128328,0.580355624,3.16E-10,8.46E-09
FAM157C,2.501610356,3.077959429,3.18E-10,8.52E-09
TMEM30A,1.270572368,4.695978942,3.24E-10,8.65E-09
NPEPPS,1.238498478,4.491357848,3.39E-10,9.00E-09
SLK,1.550709416,4.661180729,3.45E-10,9.15E-09
SEC16A,1.33262972,5.568993842,3.58E-10,9.43E-09
MTMR4,1.197147958,4.20734903,3.62E-10,9.52E-09
IQSEC1,1.307646917,7.417397133,3.69E-10,9.68E-09
SLC6A6,1.967349012,5.619210325,3.77E-10,9.88E-09
DOCK11,1.270639432,5.52383576,3.87E-10,1.01E-08
USP9X,1.291841426,5.522820916,3.97E-10,1.03E-08
RIPOR2,1.471839873,8.81726708,4.12E-10,1.07E-08
RUNX1,1.429047534,4.82629657,4.15E-10,1.07E-08
OSBPL1A,2.004119476,1.760534112,4.17E-10,1.07E-08
ABHD2,1.684765706,4.471591319,4.23E-10,1.09E-08
LINC01001,1.983174891,4.167628714,4.24E-10,1.09E-08
EPG5,1.273162764,4.416198195,4.27E-10,1.09E-08
PTPN1,1.199185853,5.696488031,4.49E-10,1.14E-08
PTPRE,1.3533549,6.515644272,4.51E-10,1.14E-08
IVNS1ABP,1.453264302,6.137649365,4.51E-10,1.14E-08
MED13,1.278342633,3.874017019,4.57E-10,1.15E-08
CARD8,1.14286401,6.091760516,4.90E-10,1.22E-08
LOC100996318,2.610352061,2.000331338,5.05E-10,1.25E-08
MAP3K2,1.427264473,4.897563456,5.06E-10,1.25E-08
NAIP,2.345525245,2.404802171,5.37E-10,1.32E-08
AVL9,1.125983135,4.096616221,5.41E-10,1.33E-08
HDGFL3,1.729723156,1.957320714,5.42E-10,1.33E-08
NLRP12,1.695499104,6.586327534,5.42E-10,1.33E-08
ATP6V1C1,1.648876965,4.836601775,5.52E-10,1.35E-08
BAZ1A,1.709281004,6.496841143,5.61E-10,1.36E-08
PRKAR2A,1.298331379,4.473301598,5.62E-10,1.37E-08
AP1G1,1.167010634,5.154474799,5.75E-10,1.39E-08
ATXN1L,1.165028203,3.945247021,5.75E-10,1.39E-08
