,logFC,logCPM,PValue,FDR
THEM6,0.570506824,2.231781471,0.002089928,0.046234399
MSL3,0.281409694,4.073963411,0.002091943,0.046234399
SNX27,0.452772969,3.579152218,0.002109829,0.046551206
MPZL1,0.960778569,0.016544573,0.002129907,0.046758061
HMG20A,0.395928483,2.436486679,0.002143936,0.046830708
SNHG7,0.619360811,0.94772081,0.002150617,0.046898478
NARS2,0.594823325,1.294521135,0.002154568,0.046906602
RNF139-DT,0.670316521,-0.218358809,0.002189657,0.047512652
ZNF528,0.504677761,0.125264711,0.002204988,0.047593611
LMAN2L,0.600971252,1.196164846,0.002206154,0.047593611
LIAS,0.442281729,1.318176046,0.002211771,0.047598471
ACTN1,0.778574355,3.775412634,0.002232326,0.047876733
SNHG29,0.342766333,4.447114527,0.00223692,0.047876733
RIMKLB,0.688432396,1.587917981,0.002256418,0.047997169
ZNF320,0.625153726,0.289601498,0.002275577,0.048180465
LOC440311,0.842263893,-1.115653,0.00228371,0.048201276
ZNF473,0.669157249,0.813880596,0.002283915,0.048201276
CEACAM21,0.78734039,-0.925787866,0.002304162,0.048550396
EMC1,0.351088612,2.631850252,0.002321309,0.048676915
TEX2,0.483875623,1.285073078,0.002335434,0.048816905
FCRL1,1.092028076,1.901931825,0.002355006,0.049069495
EML6,0.710210399,-0.369957188,0.00239467,0.049766793
RPL22,0.360161728,5.541933887,0.002399692,0.049766793
ZNF584,0.516688774,0.797099083,0.002403281,0.049766793
DKC1,0.379874586,2.990045494,0.002403661,0.049766793
